date,close,ret
1971-02-05,100.0,
1971-02-08,100.84,0.008399999999999963
1971-02-09,100.76,-0.0007933359777865245
1971-02-10,100.69,-0.0006947201270346426
1971-02-11,101.45,0.007547919356440502
1971-02-12,102.05,0.005914243469689495
1971-02-16,102.19,0.0013718765311121484
1971-02-17,101.74,-0.004403561992367133
1971-02-18,101.42,-0.003145272262630172
1971-02-19,100.7,-0.007099191480970157
1971-02-22,99.68,-0.0101290963257199
1971-02-23,99.72,0.00040128410914919144
1971-02-24,100.64,0.00922583233052543
1971-02-25,101.23,0.005862480127186043
1971-02-26,101.34,0.0010866343969178072
1971-03-01,101.78,0.004341819617130538
1971-03-02,101.84,0.0005895067793280084
1971-03-03,102.07,0.002258444619010147
1971-03-04,102.78,0.006956010580973837
1971-03-05,103.51,0.007102549134072822
1971-03-08,104.23,0.00695584967635976
1971-03-09,104.41,0.0017269500143912708
1971-03-10,104.14,-0.0025859591993103725
1971-03-11,104.26,0.0011522949875168997
1971-03-12,104.5,0.0023019374640322887
1971-03-15,105.13,0.006028708133971161
1971-03-16,105.56,0.004090174070198849
1971-03-17,105.5,-0.0005683971201212445
1971-03-18,105.88,0.003601895734597127
1971-03-19,105.77,-0.0010389119758217324
1971-03-22,105.37,-0.0037817906778858656
1971-03-23,105.11,-0.0024674954920755887
1971-03-24,104.7,-0.003900675482827465
1971-03-25,104.6,-0.0009551098376313627
1971-03-26,105.07,0.004493307839388061
1971-03-29,105.2,0.0012372703911678329
1971-03-30,105.44,0.0022813688212928174
1971-03-31,105.97,0.00502655538694996
1971-04-01,106.34,0.0034915542134565936
1971-04-02,106.86,0.004889975550122161
1971-04-05,107.17,0.0029009919520868177
1971-04-06,107.56,0.0036390781002146877
1971-04-07,108.06,0.00464856824098181
1971-04-08,108.38,0.002961317786414952
1971-04-12,108.87,0.004521129359660536
1971-04-13,108.85,-0.00018370533664013866
1971-04-14,109.08,0.0021129995406523605
1971-04-15,109.69,0.005592225889255564
1971-04-16,109.96,0.002461482359376488
1971-04-19,110.16,0.0018188432157149048
1971-04-20,109.53,-0.005718954248365993
1971-04-21,109.52,-9.129918743733256e-05
1971-04-22,109.99,0.004291453615777874
1971-04-23,110.69,0.006364214928629819
1971-04-26,111.13,0.003975065498238228
1971-04-27,111.69,0.0050391433456311585
1971-04-28,112.37,0.0060882800608828
1971-04-29,112.46,0.0008009255139271865
1971-04-30,112.3,-0.001422728081095448
1971-05-03,111.35,-0.008459483526268907
1971-05-04,111.77,0.003771890435563474
1971-05-05,111.68,-0.0008052250156570517
1971-05-06,111.06,-0.005551575931232122
1971-05-07,110.66,-0.003601656762110661
1971-05-10,110.15,-0.004608711368154661
1971-05-11,110.33,0.0016341352700861567
1971-05-12,110.37,0.0003625487174838682
1971-05-13,110.55,0.0016308779559661701
1971-05-14,110.74,0.0017186793306196435
